Reaction	ReactionID	Compartment	Metabolite	MetName	StoiCoef
L-arganine transport	r_1185	exchange	s_0968	L-arginine [vacuole]	1.0
L-arganine transport	r_1185	exchange	e_0094	VBA2 [vacuolar membrane]
L-asparagine transport	r_1186	exchange	s_0796	H+ [extracellular]	-1.0
L-asparagine transport	r_1186	exchange	s_0970	L-asparagine [extracellular]	-1.0
L-asparagine transport	r_1186	exchange	s_0794	H+ [cytoplasm]	1.0
L-asparagine transport	r_1186	exchange	s_0969	L-asparagine [cytoplasm]	1.0
L-asparagine transport	r_1186	exchange	e_0102	AGP1 [cell envelope]
L-asparagine transport	r_1186	exchange	e_0942	DIP5 [cell envelope]
L-asparagine transport	r_1186	exchange	e_0241	GNP1 [cell envelope]
L-asparagine transport	r_1186	exchange	e_0600	GAP1 [cell envelope]
L-asparagine transport	r_1187	exchange	s_0802	H+ [vacuole]	-1.0
L-asparagine transport	r_1187	exchange	s_0969	L-asparagine [cytoplasm]	-1.0
L-asparagine transport	r_1187	exchange	s_0794	H+ [cytoplasm]	1.0
L-asparagine transport	r_1187	exchange	s_0972	L-asparagine [vacuole]	1.0
L-asparagine transport	r_1187	exchange	e_0524	AVT1 [vacuolar membrane]
L-aspartate transport	r_1188	exchange	s_0802	H+ [vacuole]	-1.0
L-aspartate transport	r_1188	exchange	s_0972	L-asparagine [vacuole]	-1.0
L-aspartate transport	r_1188	exchange	s_0794	H+ [cytoplasm]	1.0
L-aspartate transport	r_1188	exchange	s_0969	L-asparagine [cytoplasm]	1.0
L-aspartate transport	r_1188	exchange	e_0777	AVT4 [vacuolar membrane]
L-aspartate transport	r_1188	exchange	e_0580	AVT3 [vacuolar membrane]
L-aspartate transport	r_1189	exchange	s_0802	H+ [vacuole]	-1.0
L-aspartate transport	r_1189	exchange	s_0977	L-aspartate [vacuole]	-1.0
L-aspartate transport	r_1189	exchange	s_0794	H+ [cytoplasm]	1.0
L-aspartate transport	r_1189	exchange	s_0973	L-aspartate [cytoplasm]	1.0
L-aspartate transport	r_1189	exchange	e_0300	AVT6 [vacuolar membrane]
L-aspartate transport	r_1190	exchange	s_0796	H+ [extracellular]	-1.0
L-aspartate transport	r_1190	exchange	s_0974	L-aspartate [extracellular]	-1.0
L-aspartate transport	r_1190	exchange	s_0794	H+ [cytoplasm]	1.0
L-aspartate transport	r_1190	exchange	s_0973	L-aspartate [cytoplasm]	1.0
L-aspartate transport	r_1190	exchange	e_0942	DIP5 [cell envelope]
L-aspartate transport	r_1190	exchange	e_0316	AGP3 [cell envelope]
L-aspartate transport	r_1190	exchange	e_0600	GAP1 [cell envelope]
L-carnitine transport	r_1191	exchange	s_0022	(R)-carnitine [extracellular]	-1.0
L-carnitine transport	r_1191	exchange	s_0021	(R)-carnitine [cytoplasm]	1.0
L-carnitine transport	r_1191	exchange	e_0068	AGP2 [cell envelope]
L-cystine transport	r_1192	exchange	s_0796	H+ [extracellular]	-1.0
L-cystine transport	r_1192	exchange	s_0982	L-cysteine [extracellular]	-1.0
L-cystine transport	r_1192	exchange	s_0794	H+ [cytoplasm]	1.0
L-cystine transport	r_1192	exchange	s_0981	L-cysteine [cytoplasm]	1.0
L-cystine transport	r_1192	exchange	e_0102	AGP1 [cell envelope]
L-cystine transport	r_1192	exchange	e_0241	GNP1 [cell envelope]
L-cystine transport	r_1192	exchange	e_0173	BAP3 [cell envelope]
L-cystine transport	r_1192	exchange	e_0056	TAT1 [cell envelope]
L-cystine transport	r_1192	exchange	e_0821	TAT2 [cell envelope]
L-cystine transport	r_1192	exchange	e_0055	BAP2 [cell envelope]
L-cystine transport	r_1192	exchange	e_0600	GAP1 [cell envelope]
L-cystine transport	r_1193	exchange	s_0802	H+ [vacuole]	-1.0
L-cystine transport	r_1193	exchange	s_0985	L-cystine [vacuole]	-1.0
L-cystine transport	r_1193	exchange	s_0794	H+ [cytoplasm]	1.0
L-cystine transport	r_1193	exchange	s_0984	L-cystine [cytoplasm]	1.0
L-cystine transport	r_1193	exchange	e_0123	ERS1 [vacuolar membrane]
L-glutamate transport	r_1194	exchange	s_0991	L-glutamate [cytoplasm]	-1.0
L-glutamate transport	r_1194	exchange	s_0993	L-glutamate [mitochondrion]	1.0
L-glutamate transport	r_1194	exchange	e_0951	AGC1 [mitochondrial membrane]
L-glutamate transport	r_1195	exchange	s_0802	H+ [vacuole]	-1.0
L-glutamate transport	r_1195	exchange	s_0996	L-glutamate [vacuole]	-1.0
L-glutamate transport	r_1195	exchange	s_0794	H+ [cytoplasm]	1.0
L-glutamate transport	r_1195	exchange	s_0991	L-glutamate [cytoplasm]	1.0
L-glutamate transport	r_1195	exchange	e_0300	AVT6 [vacuolar membrane]
L-glutamate transport	r_1196	exchange	s_0796	H+ [extracellular]	-1.0
L-glutamate transport	r_1196	exchange	s_0992	L-glutamate [extracellular]	-1.0
L-glutamate transport	r_1196	exchange	s_0794	H+ [cytoplasm]	1.0
L-glutamate transport	r_1196	exchange	s_0991	L-glutamate [cytoplasm]	1.0
L-glutamate transport	r_1196	exchange	e_0102	AGP1 [cell envelope]
L-glutamate transport	r_1196	exchange	e_0942	DIP5 [cell envelope]
L-glutamate transport	r_1196	exchange	e_0316	AGP3 [cell envelope]
L-glutamate transport	r_1196	exchange	e_0600	GAP1 [cell envelope]
L-glutamine transport	r_1197	exchange	s_0802	H+ [vacuole]	-1.0
L-glutamine transport	r_1197	exchange	s_0999	L-glutamine [cytoplasm]	-1.0
L-glutamine transport	r_1197	exchange	s_0794	H+ [cytoplasm]	1.0
L-glutamine transport	r_1197	exchange	s_1002	L-glutamine [vacuole]	1.0
L-glutamine transport	r_1197	exchange	e_0524	AVT1 [vacuolar membrane]
L-glutamine transport	r_1198	exchange	s_0802	H+ [vacuole]	-1.0
L-glutamine transport	r_1198	exchange	s_1002	L-glutamine [vacuole]	-1.0
L-glutamine transport	r_1198	exchange	s_0794	H+ [cytoplasm]	1.0
L-glutamine transport	r_1198	exchange	s_0999	L-glutamine [cytoplasm]	1.0
L-glutamine transport	r_1198	exchange	e_0777	AVT4 [vacuolar membrane]
L-glutamine transport	r_1198	exchange	e_0580	AVT3 [vacuolar membrane]
L-glutamine transport	r_1199	exchange	s_0796	H+ [extracellular]	-1.0
L-glutamine transport	r_1199	exchange	s_1000	L-glutamine [extracellular]	-1.0
L-glutamine transport	r_1199	exchange	s_0794	H+ [cytoplasm]	1.0
L-glutamine transport	r_1199	exchange	s_0999	L-glutamine [cytoplasm]	1.0
L-glutamine transport	r_1199	exchange	e_0102	AGP1 [cell envelope]
L-glutamine transport	r_1199	exchange	e_0942	DIP5 [cell envelope]
L-glutamine transport	r_1199	exchange	e_0241	GNP1 [cell envelope]
L-glutamine transport	r_1199	exchange	e_0600	GAP1 [cell envelope]
L-histidine transport, vacuolar	r_1200	exchange	s_0802	H+ [vacuole]	-1.0
L-histidine transport, vacuolar	r_1200	exchange	s_1006	L-histidine [cytoplasm]	-1.0
L-histidine transport, vacuolar	r_1200	exchange	s_0794	H+ [cytoplasm]	1.0
L-histidine transport, vacuolar	r_1200	exchange	s_1009	L-histidine [vacuole]	1.0
L-histidine transport, vacuolar	r_1200	exchange	e_0731	VBA1 [vacuolar membrane]
L-histidine transport, vacuolar	r_1200	exchange	e_0110	VBA3 [vacuolar membrane]
L-histidine transport, vacuolar	r_1200	exchange	e_0094	VBA2 [vacuolar membrane]
L-histidine transport	r_1201	exchange	s_0796	H+ [extracellular]	-1.0
L-histidine transport	r_1201	exchange	s_1007	L-histidine [extracellular]	-1.0
L-histidine transport	r_1201	exchange	s_0794	H+ [cytoplasm]	1.0
L-histidine transport	r_1201	exchange	s_1006	L-histidine [cytoplasm]	1.0
L-histidine transport	r_1201	exchange	e_0056	TAT1 [cell envelope]
L-histidine transport	r_1201	exchange	e_0391	HIP1 [cell envelope]
L-histidine transport	r_1201	exchange	e_0600	GAP1 [cell envelope]
L-isoleucine transport	r_1202	exchange	s_1019	L-isoleucine [vacuole]	-1.0
L-isoleucine transport	r_1202	exchange	s_1016	L-isoleucine [cytoplasm]	1.0
L-isoleucine transport	r_1202	exchange	e_0105	ATG22 [vacuolar membrane]
L-isoleucine transport	r_1203	exchange	s_0802	H+ [vacuole]	-1.0
L-isoleucine transport	r_1203	exchange	s_1016	L-isoleucine [cytoplasm]	-1.0
L-isoleucine transport	r_1203	exchange	s_0794	H+ [cytoplasm]	1.0
L-isoleucine transport	r_1203	exchange	s_1019	L-isoleucine [vacuole]	1.0
L-isoleucine transport	r_1203	exchange	e_0524	AVT1 [vacuolar membrane]
L-isoleucine transport	r_1204	exchange	s_0802	H+ [vacuole]	-1.0
L-isoleucine transport	r_1204	exchange	s_1019	L-isoleucine [vacuole]	-1.0
L-isoleucine transport	r_1204	exchange	s_0794	H+ [cytoplasm]	1.0
L-isoleucine transport	r_1204	exchange	s_1016	L-isoleucine [cytoplasm]	1.0
L-isoleucine transport	r_1204	exchange	e_0777	AVT4 [vacuolar membrane]
L-isoleucine transport	r_1204	exchange	e_0580	AVT3 [vacuolar membrane]
L-isoleucine transport	r_1205	exchange	s_0796	H+ [extracellular]	-1.0
L-isoleucine transport	r_1205	exchange	s_1017	L-isoleucine [extracellular]	-1.0
L-isoleucine transport	r_1205	exchange	s_0794	H+ [cytoplasm]	1.0
L-isoleucine transport	r_1205	exchange	s_1016	L-isoleucine [cytoplasm]	1.0
L-isoleucine transport	r_1205	exchange	e_0056	TAT1 [cell envelope]
L-isoleucine transport	r_1205	exchange	e_0102	AGP1 [cell envelope]
L-isoleucine transport	r_1205	exchange	e_0055	BAP2 [cell envelope]
L-isoleucine transport	r_1205	exchange	e_0600	GAP1 [cell envelope]
L-isoleucine transport	r_1205	exchange	e_0173	BAP3 [cell envelope]
L-lactate transport	r_1206	exchange	s_0063	(S)-lactate [cytoplasm]	-1.0
L-lactate transport	r_1206	exchange	s_0065	(S)-lactate [mitochondrion]	1.0
L-lactate transport	r_1206	exchange	e_0597	JEN1 [mitochondrial membrane]
L-lactate transport	r_1207	exchange	s_0064	(S)-lactate [extracellular]	-1.0
L-lactate transport	r_1207	exchange	s_0796	H+ [extracellular]	-1.0
L-lactate transport	r_1207	exchange	s_0063	(S)-lactate [cytoplasm]	1.0
L-lactate transport	r_1207	exchange	s_0794	H+ [cytoplasm]	1.0
L-lactate transport	r_1207	exchange	e_0596	JEN1 [cell envelope]
L-leucine transport, vacuoluar	r_1208	exchange	s_1024	L-leucine [vacuole]	-1.0
L-leucine transport, vacuoluar	r_1208	exchange	s_1021	L-leucine [cytoplasm]	1.0
L-leucine transport, vacuoluar	r_1208	exchange	e_0105	ATG22 [vacuolar membrane]
L-leucine transport, vacuoluar	r_1209	exchange	s_0802	H+ [vacuole]	-1.0
L-leucine transport, vacuoluar	r_1209	exchange	s_1021	L-leucine [cytoplasm]	-1.0
L-leucine transport, vacuoluar	r_1209	exchange	s_0794	H+ [cytoplasm]	1.0
L-leucine transport, vacuoluar	r_1209	exchange	s_1024	L-leucine [vacuole]	1.0
L-leucine transport, vacuoluar	r_1209	exchange	e_0524	AVT1 [vacuolar membrane]
L-leucine transport, vacuoluar	r_1210	exchange	s_0802	H+ [vacuole]	-1.0
L-leucine transport, vacuoluar	r_1210	exchange	s_1024	L-leucine [vacuole]	-1.0
L-leucine transport, vacuoluar	r_1210	exchange	s_0794	H+ [cytoplasm]	1.0
L-leucine transport, vacuoluar	r_1210	exchange	s_1021	L-leucine [cytoplasm]	1.0
L-leucine transport, vacuoluar	r_1210	exchange	e_0777	AVT4 [vacuolar membrane]
L-leucine transport, vacuoluar	r_1210	exchange	e_0580	AVT3 [vacuolar membrane]
L-leucine transport	r_1211	exchange	s_0796	H+ [extracellular]	-1.0
L-leucine transport	r_1211	exchange	s_1022	L-leucine [extracellular]	-1.0
L-leucine transport	r_1211	exchange	s_0794	H+ [cytoplasm]	1.0
L-leucine transport	r_1211	exchange	s_1021	L-leucine [cytoplasm]	1.0
L-leucine transport	r_1211	exchange	e_0102	AGP1 [cell envelope]
L-leucine transport	r_1211	exchange	e_0241	GNP1 [cell envelope]
L-leucine transport	r_1211	exchange	e_0173	BAP3 [cell envelope]
L-leucine transport	r_1211	exchange	e_0056	TAT1 [cell envelope]
L-leucine transport	r_1211	exchange	e_0055	BAP2 [cell envelope]
L-leucine transport	r_1211	exchange	e_0600	GAP1 [cell envelope]
L-lysine transport	r_1212	exchange	s_0802	H+ [vacuole]	-1.0
L-lysine transport	r_1212	exchange	s_1025	L-lysine [cytoplasm]	-1.0
L-lysine transport	r_1212	exchange	s_0794	H+ [cytoplasm]	1.0
L-lysine transport	r_1212	exchange	s_1028	L-lysine [vacuole]	1.0
L-lysine transport	r_1212	exchange	e_0731	VBA1 [vacuolar membrane]
L-lysine transport	r_1212	exchange	e_0110	VBA3 [vacuolar membrane]
L-lysine transport	r_1212	exchange	e_0094	VBA2 [vacuolar membrane]
L-lysine transport	r_1213	exchange	s_0796	H+ [extracellular]	-1.0
L-lysine transport	r_1213	exchange	s_1026	L-lysine [extracellular]	-1.0
L-lysine transport	r_1213	exchange	s_0794	H+ [cytoplasm]	1.0
L-lysine transport	r_1213	exchange	s_1025	L-lysine [cytoplasm]	1.0
L-lysine transport	r_1213	exchange	e_0600	GAP1 [cell envelope]
L-lysine transport	r_1213	exchange	e_0797	LYP1 [cell envelope]
L-methionine transport	r_1214	exchange	s_0796	H+ [extracellular]	-1.0
L-methionine transport	r_1214	exchange	s_1030	L-methionine [extracellular]	-1.0
L-methionine transport	r_1214	exchange	s_0794	H+ [cytoplasm]	1.0
L-methionine transport	r_1214	exchange	s_1029	L-methionine [cytoplasm]	1.0
L-methionine transport	r_1214	exchange	e_0102	AGP1 [cell envelope]
L-methionine transport	r_1214	exchange	e_0366	MUP1 [cell envelope]
L-methionine transport	r_1214	exchange	e_0173	BAP3 [cell envelope]
L-methionine transport	r_1214	exchange	e_0055	BAP2 [cell envelope]
L-methionine transport	r_1214	exchange	e_0421	MUP3 [cell envelope]
L-methionine transport	r_1214	exchange	e_0241	GNP1 [cell envelope]
L-methionine transport	r_1214	exchange	e_0600	GAP1 [cell envelope]
L-phenylalanine transport	r_1215	exchange	s_0796	H+ [extracellular]	-1.0
L-phenylalanine transport	r_1215	exchange	s_1033	L-phenylalanine [extracellular]	-1.0
L-phenylalanine transport	r_1215	exchange	s_0794	H+ [cytoplasm]	1.0
L-phenylalanine transport	r_1215	exchange	s_1032	L-phenylalanine [cytoplasm]	1.0
L-phenylalanine transport	r_1215	exchange	e_0102	AGP1 [cell envelope]
L-phenylalanine transport	r_1215	exchange	e_0821	TAT2 [cell envelope]
L-phenylalanine transport	r_1215	exchange	e_0055	BAP2 [cell envelope]
L-phenylalanine transport	r_1215	exchange	e_0600	GAP1 [cell envelope]
L-phenylalanine transport	r_1215	exchange	e_0173	BAP3 [cell envelope]
L-proline transport	r_1216	exchange	s_0796	H+ [extracellular]	-1.0
L-proline transport	r_1216	exchange	s_1036	L-proline [extracellular]	-1.0
L-proline transport	r_1216	exchange	s_0794	H+ [cytoplasm]	1.0
L-proline transport	r_1216	exchange	s_1035	L-proline [cytoplasm]	1.0
L-proline transport	r_1216	exchange	e_0896	PUT4 [cell envelope]
L-proline transport	r_1216	exchange	e_0600	GAP1 [cell envelope]
L-serine transport	r_1217	exchange	s_0796	H+ [extracellular]	-1.0
L-serine transport	r_1217	exchange	s_1041	L-serine [extracellular]	-1.0
L-serine transport	r_1217	exchange	s_0794	H+ [cytoplasm]	1.0
L-serine transport	r_1217	exchange	s_1039	L-serine [cytoplasm]	1.0
L-serine transport	r_1217	exchange	e_0102	AGP1 [cell envelope]
L-serine transport	r_1217	exchange	e_0942	DIP5 [cell envelope]
L-serine transport	r_1217	exchange	e_0241	GNP1 [cell envelope]
L-serine transport	r_1217	exchange	e_0316	AGP3 [cell envelope]
L-serine transport	r_1217	exchange	e_0600	GAP1 [cell envelope]
L-threonine transport	r_1218	exchange	s_0796	H+ [extracellular]	-1.0
L-threonine transport	r_1218	exchange	s_1046	L-threonine [extracellular]	-1.0
L-threonine transport	r_1218	exchange	s_0794	H+ [cytoplasm]	1.0
L-threonine transport	r_1218	exchange	s_1045	L-threonine [cytoplasm]	1.0
L-threonine transport	r_1218	exchange	e_0056	TAT1 [cell envelope]
L-threonine transport	r_1218	exchange	e_0102	AGP1 [cell envelope]
L-threonine transport	r_1218	exchange	e_0241	GNP1 [cell envelope]
L-threonine transport	r_1218	exchange	e_0600	GAP1 [cell envelope]
L-threonine transport	r_1218	exchange	e_0173	BAP3 [cell envelope]
L-tryptophan transport	r_1219	exchange	s_0796	H+ [extracellular]	-1.0
L-tryptophan transport	r_1219	exchange	s_1049	L-tryptophan [extracellular]	-1.0
L-tryptophan transport	r_1219	exchange	s_0794	H+ [cytoplasm]	1.0
L-tryptophan transport	r_1219	exchange	s_1048	L-tryptophan [cytoplasm]	1.0
L-tryptophan transport	r_1219	exchange	e_0056	TAT1 [cell envelope]
L-tryptophan transport	r_1219	exchange	e_0173	BAP3 [cell envelope]
L-tryptophan transport	r_1219	exchange	e_0821	TAT2 [cell envelope]
L-tryptophan transport	r_1219	exchange	e_0055	BAP2 [cell envelope]
L-tryptophan transport	r_1219	exchange	e_0600	GAP1 [cell envelope]
L-tyrosine transport	r_1220	exchange	s_1055	L-tyrosine [vacuole]	-1.0
L-tyrosine transport	r_1220	exchange	s_1051	L-tyrosine [cytoplasm]	1.0
L-tyrosine transport	r_1220	exchange	e_0105	ATG22 [vacuolar membrane]
L-tyrosine transport	r_1221	exchange	s_0802	H+ [vacuole]	-1.0
L-tyrosine transport	r_1221	exchange	s_1051	L-tyrosine [cytoplasm]	-1.0
L-tyrosine transport	r_1221	exchange	s_0794	H+ [cytoplasm]	1.0
L-tyrosine transport	r_1221	exchange	s_1055	L-tyrosine [vacuole]	1.0
L-tyrosine transport	r_1221	exchange	e_0524	AVT1 [vacuolar membrane]
L-tyrosine transport	r_1221	exchange	e_0094	VBA2 [vacuolar membrane]
L-tyrosine transport	r_1222	exchange	s_0802	H+ [vacuole]	-1.0
L-tyrosine transport	r_1222	exchange	s_1055	L-tyrosine [vacuole]	-1.0
L-tyrosine transport	r_1222	exchange	s_0794	H+ [cytoplasm]	1.0
L-tyrosine transport	r_1222	exchange	s_1051	L-tyrosine [cytoplasm]	1.0
L-tyrosine transport	r_1222	exchange	e_0777	AVT4 [vacuolar membrane]
L-tyrosine transport	r_1222	exchange	e_0580	AVT3 [vacuolar membrane]
L-tyrosine transport	r_1223	exchange	s_0796	H+ [extracellular]	-1.0
L-tyrosine transport	r_1223	exchange	s_1052	L-tyrosine [extracellular]	-1.0
L-tyrosine transport	r_1223	exchange	s_0794	H+ [cytoplasm]	1.0
L-tyrosine transport	r_1223	exchange	s_1051	L-tyrosine [cytoplasm]	1.0
L-tyrosine transport	r_1223	exchange	e_0102	AGP1 [cell envelope]
L-tyrosine transport	r_1223	exchange	e_0173	BAP3 [cell envelope]
L-tyrosine transport	r_1223	exchange	e_0056	TAT1 [cell envelope]
L-tyrosine transport	r_1223	exchange	e_0821	TAT2 [cell envelope]
L-tyrosine transport	r_1223	exchange	e_0055	BAP2 [cell envelope]
L-tyrosine transport	r_1223	exchange	e_0600	GAP1 [cell envelope]
L-valine transport	r_1224	exchange	s_0796	H+ [extracellular]	-1.0
L-valine transport	r_1224	exchange	s_1057	L-valine [extracellular]	-1.0
L-valine transport	r_1224	exchange	s_0794	H+ [cytoplasm]	1.0
L-valine transport	r_1224	exchange	s_1056	L-valine [cytoplasm]	1.0
L-valine transport	r_1224	exchange	e_0056	TAT1 [cell envelope]
L-valine transport	r_1224	exchange	e_0102	AGP1 [cell envelope]
L-valine transport	r_1224	exchange	e_0055	BAP2 [cell envelope]
L-valine transport	r_1224	exchange	e_0600	GAP1 [cell envelope]
L-valine transport	r_1224	exchange	e_0173	BAP3 [cell envelope]
lanosterol transport	r_1225	exchange	s_1061	lanosterol [extracellular]	-1.0
lanosterol transport	r_1225	exchange	s_1059	lanosterol [cytoplasm]	1.0
lanosterol transport	r_1225	exchange	e_0464	PDR11 [cell envelope]
lanosterol transport	r_1225	exchange	e_0844	AUS1 [cell envelope]
malate transport	r_1226	exchange	s_0066	(S)-malate [cytoplasm]	-1.0
malate transport	r_1226	exchange	s_1326	phosphate [mitochondrion]	-1.0
malate transport	r_1226	exchange	s_0068	(S)-malate [mitochondrion]	1.0
malate transport	r_1226	exchange	s_1322	phosphate [cytoplasm]	1.0
malate transport	r_1226	exchange	e_0683	DIC1 [mitochondrial membrane]
maltose transport	r_1227	exchange	s_0796	H+ [extracellular]	-1.0
maltose transport	r_1227	exchange	s_1106	maltose [extracellular]	-1.0
maltose transport	r_1227	exchange	s_0794	H+ [cytoplasm]	1.0
maltose transport	r_1227	exchange	s_1105	maltose [cytoplasm]	1.0
maltose transport	r_1227	exchange	e_0555	MPH3 [cell envelope]
maltose transport	r_1227	exchange	e_0163	MPH2 [cell envelope]
maltose transport	r_1227	exchange	e_0097	MAL31 [cell envelope]
maltose transport	r_1227	exchange	e_0415	MAL11 [cell envelope]
N,N'-diformyldityrosine transport	r_1228	exchange	s_1185	N,N'-diformyldityrosine [cytoplasm]	-1.0
N,N'-diformyldityrosine transport	r_1228	exchange	s_1186	N,N'-diformyldityrosine [extracellular]	1.0
N,N'-diformyldityrosine transport	r_1228	exchange	e_0076	DTR1 [cell envelope]
NAD transport	r_1229	exchange	s_1198	NAD [cytoplasm]	-1.0
NAD transport	r_1229	exchange	s_1200	NAD [mitochondrion]	1.0
NAD transport	r_1229	exchange	e_0461	YIA6 [mitochondrial membrane]
NAD transport	r_1229	exchange	e_0247	YEA6 [mitochondrial membrane]
NAD transport	r_1230	exchange	s_0585	dAMP [mitochondrion]	-1.0
NAD transport	r_1230	exchange	s_1198	NAD [cytoplasm]	-1.0
NAD transport	r_1230	exchange	s_0584	dAMP [cytoplasm]	1.0
NAD transport	r_1230	exchange	s_1200	NAD [mitochondrion]	1.0
NAD transport	r_1230	exchange	e_0461	YIA6 [mitochondrial membrane]
NAD transport	r_1231	exchange	s_0424	AMP [mitochondrion]	-1.0
NAD transport	r_1231	exchange	s_1198	NAD [cytoplasm]	-1.0
NAD transport	r_1231	exchange	s_0423	AMP [cytoplasm]	1.0
NAD transport	r_1231	exchange	s_1200	NAD [mitochondrion]	1.0
NAD transport	r_1231	exchange	e_0461	YIA6 [mitochondrial membrane]
NAD transport	r_1232	exchange	s_0616	dGMP [mitochondrion]	-1.0
NAD transport	r_1232	exchange	s_1198	NAD [cytoplasm]	-1.0
NAD transport	r_1232	exchange	s_0615	dGMP [cytoplasm]	1.0
NAD transport	r_1232	exchange	s_1200	NAD [mitochondrion]	1.0
NAD transport	r_1232	exchange	e_0461	YIA6 [mitochondrial membrane]
nicotinate transport	r_1235	exchange	s_1220	nicotinate [extracellular]	-1.0
nicotinate transport	r_1235	exchange	s_1219	nicotinate [cytoplasm]	1.0
nicotinate transport	r_1235	exchange	e_0408	TNA1 [cell envelope]
octadecanoate (n-C18:0) transport	r_1236	exchange	s_1449	stearate [cytoplasm]	-1.0
octadecanoate (n-C18:0) transport	r_1236	exchange	s_1451	stearate [peroxisome]	1.0
octadecanoate (n-C18:0) transport	r_1236	exchange	e_0924	PXA1 [peroxisomal membrane]
ornithine transport	r_1237	exchange	s_0794	H+ [cytoplasm]	-1.0
ornithine transport	r_1237	exchange	s_1268	ornithine [mitochondrion]	-1.0
ornithine transport	r_1237	exchange	s_0799	H+ [mitochondrion]	1.0
ornithine transport	r_1237	exchange	s_1266	ornithine [cytoplasm]	1.0
ornithine transport	r_1237	exchange	e_0861	ORT1 [mitochondrial membrane]
orntithine transport	r_1238	exchange	s_0796	H+ [extracellular]	-1.0
orntithine transport	r_1238	exchange	s_1267	ornithine [extracellular]	-1.0
orntithine transport	r_1238	exchange	s_0794	H+ [cytoplasm]	1.0
orntithine transport	r_1238	exchange	s_1266	ornithine [cytoplasm]	1.0
orntithine transport	r_1238	exchange	e_0266	CAN1 [cell envelope]
orntithine transport	r_1238	exchange	e_0600	GAP1 [cell envelope]
oxaloacetate transport	r_1239	exchange	s_0794	H+ [cytoplasm]	-1.0
oxaloacetate transport	r_1239	exchange	s_1271	oxaloacetate [cytoplasm]	-1.0
oxaloacetate transport	r_1239	exchange	s_0799	H+ [mitochondrion]	1.0
oxaloacetate transport	r_1239	exchange	s_1273	oxaloacetate [mitochondrion]	1.0
oxaloacetate transport	r_1239	exchange	e_0575	OAC1 [mitochondrial membrane]
pantothenate transport	r_1241	exchange	s_0032	(R)-pantothenate [extracellular]	-1.0
pantothenate transport	r_1241	exchange	s_0796	H+ [extracellular]	-1.0
pantothenate transport	r_1241	exchange	s_0031	(R)-pantothenate [cytoplasm]	1.0
pantothenate transport	r_1241	exchange	s_0794	H+ [cytoplasm]	1.0
pantothenate transport	r_1241	exchange	e_0116	FEN2 [cell envelope]
pentaprenyl diphosphate transport	r_1242	exchange	s_1311	pentaprenyl diphosphate [cytoplasm]	-1.0
pentaprenyl diphosphate transport	r_1242	exchange	s_1313	pentaprenyl diphosphate [mitochondrion]	1.0
phenethyl acetate transport	r_1243	exchange	s_1316	phenethyl acetate [cytoplasm]	-1.0
phenethyl acetate transport	r_1243	exchange	s_1317	phenethyl acetate [extracellular]	1.0
phosphate transport	r_1244	exchange	s_0796	H+ [extracellular]	-1.0
phosphate transport	r_1244	exchange	s_1324	phosphate [extracellular]	-1.0
phosphate transport	r_1244	exchange	s_0794	H+ [cytoplasm]	1.0
phosphate transport	r_1244	exchange	s_1322	phosphate [cytoplasm]	1.0
phosphate transport	r_1244	exchange	e_0120	PHO87 [cell envelope]
phosphate transport	r_1244	exchange	e_0807	PHO91 [cell envelope]
phosphate transport	r_1244	exchange	e_0715	PHO84 [cell envelope]
phosphate transport	r_1244	exchange	e_0096	PHO89 [cell envelope]
phosphate transport	r_1244	exchange	e_0517	PHO90 [cell envelope]
phosphate transport	r_1245	exchange	s_0794	H+ [cytoplasm]	-1.0
phosphate transport	r_1245	exchange	s_1322	phosphate [cytoplasm]	-1.0
phosphate transport	r_1245	exchange	s_0799	H+ [mitochondrion]	1.0
phosphate transport	r_1245	exchange	s_1326	phosphate [mitochondrion]	1.0
phosphate transport	r_1245	exchange	e_0282	PIC2 [mitochondrial membrane]
phosphate transport	r_1245	exchange	e_0537	MIR1 [mitochondrial membrane]
potassium transport	r_1249	exchange	s_0796	H+ [extracellular]	-1.0
potassium transport	r_1249	exchange	s_1374	potassium [extracellular]	-1.0
potassium transport	r_1249	exchange	s_0794	H+ [cytoplasm]	1.0
potassium transport	r_1249	exchange	s_1373	potassium [cytoplasm]	1.0
potassium transport	r_1249	exchange	e_0507	TRK1 [cell envelope]
putrescine excretion	r_1250	exchange	s_1389	putrescine [cytoplasm]	-1.0
putrescine excretion	r_1250	exchange	s_1390	putrescine [extracellular]	1.0
putrescine excretion	r_1250	exchange	e_0584	TPO5 [cell envelope]
putrescine transport	r_1251	exchange	s_0794	H+ [cytoplasm]	-1.0
putrescine transport	r_1251	exchange	s_1390	putrescine [extracellular]	-1.0
putrescine transport	r_1251	exchange	s_0796	H+ [extracellular]	1.0
putrescine transport	r_1251	exchange	s_1389	putrescine [cytoplasm]	1.0
putrescine transport	r_1251	exchange	e_0616	TPO1 [cell envelope]
putrescine transport	r_1251	exchange	e_0885	TPO4 [cell envelope]
putrescine transport	r_1252	exchange	s_0802	H+ [vacuole]	-1.0
putrescine transport	r_1252	exchange	s_1389	putrescine [cytoplasm]	-1.0
putrescine transport	r_1252	exchange	s_0794	H+ [cytoplasm]	1.0
putrescine transport	r_1252	exchange	s_1391	putrescine [vacuole]	1.0
putrescine transport	r_1252	exchange	e_0617	TPO1 [vacuolar membrane]
